,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
4341,4733640,2017-06-21 00:14:05.813,CA,AB,Edmonton,53.44693,-113.43865,0.10984027141718836,POI1
4342,4733649,2017-06-21 09:14:07.237,CA,ON,Ottawa,45.4298,-75.6931,2.1290572737756515,POI3
4343,4733728,2017-06-21 20:14:04.397,CA,ON,Brampton,43.7796,-79.7681,6.442081321018623,POI3
4344,4733817,2017-06-21 18:14:04.753,CA,AB,Calgary,51.0905,-114.182,2.552466798539213,POI1
4345,4733836,2017-06-21 10:14:04.840,CA,AB,Okotoks,50.72618,-113.96906000000001,2.8611065520957153,POI1
4346,4733934,2017-06-21 07:14:04.897,CA,AB,Calgary,51.0378,-114.08,2.5778008234627094,POI1
4347,4733952,2017-06-21 17:14:04.967,CA,AB,Calgary,50.9722,-114.062,2.6376862246759005,POI1
4348,4733960,2017-06-21 06:14:04.987,CA,NB,Saint John,45.3256,-66.0189,2.7879927249081873,POI4
4349,4733995,2017-06-21 13:14:06.600,CA,ON,Scarborough,43.798,-79.227,5.917562522037012,POI3
4350,4734036,2017-06-21 21:14:04.620,CA,AB,Olds,51.7989,-114.118,1.8581448447429998,POI1
4351,4734061,2017-06-21 20:14:04.627,CA,ON,Etobicoke,43.6247,-79.4892,6.219513932617,POI3
4352,4734148,2017-06-21 14:14:04.673,CA,NS,Sydney,46.1356,-60.1788,3.186845513974755,POI4
4353,4734165,2017-06-21 07:14:04.713,CA,AB,Calgary,51.0081,-114.073,2.6051229244020346,POI1
4354,4734257,2017-06-21 12:14:04.783,CA,AB,Calgary,51.04988,-114.16641000000001,2.58742509134951,POI1
4356,4734355,2017-06-21 11:14:05.890,CA,AB,Okotoks,50.7362,-113.9695,2.851305680533925,POI1
4358,4734463,2017-06-21 00:14:07.310,CA,QC,Laval,45.6323,-73.7579,0.2215050103654627,POI3
4359,4734534,2017-06-21 02:14:10.493,CA,AB,Calgary,51.1467,-114.3133,2.5381700826471403,POI1
4360,4734573,2017-06-21 17:14:08.103,CA,AB,Calgary,51.01968,-114.20034,2.625604367837051,POI1
4362,4734706,2017-06-21 16:14:11.777,CA,ON,Brampton,43.76447,-79.72308000000001,6.4028857820842875,POI3
4364,4734831,2017-06-21 05:14:11.933,CA,QC,Saint-Constant,45.3668,-73.5659,0.1548290496547719,POI3
4366,4734917,2017-06-21 10:14:10.300,CA,AB,Calgary,51.0419,-114.2,2.604136925364145,POI1
