,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
0,4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,7.216086686821121,POI3
1,4516547,2017-06-21 18:00:00.193,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
2,4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
3,4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.3716,-80.9773,7.716841105596059,POI3
4,4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.3716,-80.9773,7.716841105596059,POI3
5,4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
6,4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.961,-82.373,9.171676353874307,POI3
8,4516915,2017-06-21 15:00:01.310,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
9,4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.4278,-80.5135,7.256138274028198,POI3
10,4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
11,4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.2825,-83.0372,10.009751820181007,POI3
13,4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.243970000000004,-82.98058,9.968796978443137,POI3
14,4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.7792,-81.1927,8.104758085780045,POI3
15,4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
16,4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
18,4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.5425,-80.2676,6.987708671833496,POI3
20,4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
21,4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.5215,-80.2338,6.961303958513593,POI3
22,4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
23,4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
24,4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
25,4517607,2017-06-21 01:00:01.623,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
26,4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.3262,-82.9084,9.873740720690261,POI3
27,4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
28,4517809,2017-06-21 17:00:00.030,CA,ON,London,43.0346,-81.2554,8.081572651174827,POI3
29,4517811,2017-06-21 12:00:00.150,CA,ON,Cambridge,43.4194,-80.3255,7.078833418227686,POI3
30,4517905,2017-06-21 17:00:00.183,CA,ON,Windsor,42.2957,-82.9599,9.93234736688247,POI3
31,4517999,2017-06-21 12:00:00.643,CA,ON,Kitchener,43.4553,-80.4845,7.22045882882916,POI3
33,4518002,2017-06-21 01:00:00.937,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
34,4518061,2017-06-21 14:00:01.123,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
35,4518130,2017-06-21 00:00:01.333,CA,ON,London,43.0004,-81.2343,8.072115737687183,POI3
36,4518153,2017-06-21 09:00:01.353,CA,ON,Guelph,43.5425,-80.2676,6.987708671833496,POI3
38,4518212,2017-06-21 16:00:01.413,CA,ON,Kitchener,43.4278,-80.5135,7.256138274028198,POI3
39,4518264,2017-06-21 04:00:01.453,CA,ON,Cambridge,43.3842,-80.2968,7.062007384038695,POI3
40,4518329,2017-06-21 14:00:01.797,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
41,4518395,2017-06-21 08:00:02.080,CA,ON,Windsor,42.2908,-82.987,9.95957051382322,POI3
42,4518430,2017-06-21 09:00:02.550,CA,ON,Brantford,43.1772,-80.248,7.081324071147788,POI3
43,4518434,2017-06-21 10:00:02.610,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
44,4518512,2017-06-21 01:00:02.797,CA,ON,London,42.9611,-81.2431,8.092824270279008,POI3
45,4518585,2017-06-21 06:00:02.827,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
46,4518676,2017-06-21 05:00:02.857,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
47,4518758,2017-06-21 13:00:02.867,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
48,4518814,2017-06-21 13:00:03.793,CA,ON,Cambridge,43.3842,-80.2968,7.062007384038695,POI3
49,4518832,2017-06-21 03:00:03.903,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
50,4518887,2017-06-21 18:00:04.017,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
51,4518918,2017-06-21 08:00:04.167,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
52,4518952,2017-06-21 06:00:00.217,CA,ON,Kitchener,43.4193,-80.3826,7.133407011240629,POI3
53,4518992,2017-06-21 09:00:00.380,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
55,4519038,2017-06-21 07:00:00.803,CA,ON,Windsor,42.2287,-83.0182,10.00934625907291,POI3
57,4519097,2017-06-21 02:00:00.823,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
58,4519118,2017-06-21 19:00:00.910,CA,ON,Windsor,42.2287,-83.0182,10.00934625907291,POI3
59,4519156,2017-06-21 10:00:01.010,CA,ON,Windsor,42.2287,-83.0182,10.00934625907291,POI3
60,4519209,2017-06-21 00:00:01.257,CA,ON,Hanover,44.1517,-81.0266,7.585308149100935,POI3
61,4519287,2017-06-21 10:00:01.360,CA,ON,Kitchener,43.3904,-80.4317,7.188855540864422,POI3
62,4519378,2017-06-21 02:00:02.290,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
63,4519477,2017-06-21 08:00:02.710,CA,ON,Windsor,42.2957,-82.9599,9.93234736688247,POI3
64,4519555,2017-06-21 22:00:03.890,CA,ON,Waterloo,43.4663,-80.5402,7.270729549172971,POI3
65,4519604,2017-06-21 22:00:04.240,CA,ON,Kitchener,43.4193,-80.3826,7.133407011240629,POI3
66,4519633,2017-06-21 10:00:04.303,CA,ON,London,42.9699,-81.2081,8.056838491568328,POI3
67,4519710,2017-06-21 01:00:04.413,CA,ON,Kitchener,43.2994,-80.4496,7.233389266188918,POI3
68,4519736,2017-06-21 01:00:01.890,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
69,4519766,2017-06-21 10:00:02.067,CA,ON,Windsor,42.2545,-82.9809,9.965642076555685,POI3
70,4519856,2017-06-21 02:00:02.080,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
71,4519930,2017-06-21 19:00:02.340,CA,ON,London,43.0004,-81.2343,8.072115737687183,POI3
72,4520019,2017-06-21 18:00:02.380,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
74,4520130,2017-06-21 15:00:02.473,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
75,4520149,2017-06-21 02:00:02.493,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
76,4520192,2017-06-21 18:00:02.717,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
78,4520296,2017-06-21 06:00:03.423,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
80,4520349,2017-06-21 09:00:03.800,CA,ON,Kitchener,43.4553,-80.4845,7.22045882882916,POI3
81,4520395,2017-06-21 02:00:04.040,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
82,4520446,2017-06-21 12:00:04.447,CA,ON,London,43.0061,-81.2962,8.129176289195417,POI3
84,4520587,2017-06-21 01:00:04.767,CA,ON,Chatham,42.3778,-82.1897,9.178858781690511,POI3
85,4520685,2017-06-21 13:00:04.860,CA,ON,Kitchener,43.4193,-80.3826,7.133407011240629,POI3
86,4520740,2017-06-21 07:00:04.867,CA,ON,Kitchener,43.4193,-80.3826,7.133407011240629,POI3
87,4520751,2017-06-21 20:00:05.027,CA,ON,London,42.993,-81.169,8.01244086881251,POI3
88,4520821,2017-06-21 07:00:05.127,CA,ON,Sarnia,42.96866,-82.40455,9.199847420888949,POI3
89,4520907,2017-06-21 12:00:05.683,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
90,4520995,2017-06-21 05:00:05.687,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
92,4521119,2017-06-21 18:00:06.113,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
93,4521184,2017-06-21 02:00:06.133,CA,ON,London,42.9923,-81.2531,8.092505336421908,POI3
95,4521259,2017-06-21 14:00:06.600,CA,ON,London,43.0061,-81.2962,8.129176289195417,POI3
96,4521353,2017-06-21 13:00:06.717,CA,ON,Windsor,42.3159,-83.0311,9.993215804095142,POI3
97,4521387,2017-06-21 22:00:02.203,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
98,4521468,2017-06-21 11:00:02.300,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
99,4521539,2017-06-21 06:00:02.503,CA,ON,Kitchener,43.4553,-80.4845,7.22045882882916,POI3
100,4521574,2017-06-21 00:00:02.637,CA,ON,Brantford,43.1508,-80.2094,7.053741902325109,POI3
101,4521618,2017-06-21 15:00:02.670,CA,ON,Cambridge,43.3653,-80.3066,7.0770841148044195,POI3
102,4521682,2017-06-21 20:00:02.683,CA,ON,London,42.9611,-81.2431,8.092824270279008,POI3
103,4521726,2017-06-21 01:00:02.760,CA,ON,Cambridge,43.3653,-80.3066,7.0770841148044195,POI3
104,4521780,2017-06-21 21:00:02.823,CA,ON,Cambridge,43.3653,-80.3066,7.0770841148044195,POI3
105,4521790,2017-06-21 03:00:02.837,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
106,4521875,2017-06-21 17:00:02.860,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
107,4521970,2017-06-21 05:00:02.877,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
108,4521978,2017-06-21 13:00:03.117,CA,ON,London,42.9529,-81.3239,8.172087169555702,POI3
110,4522040,2017-06-21 20:00:03.837,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
112,4522160,2017-06-21 16:00:03.970,CA,ON,Cambridge,43.3653,-80.3066,7.0770841148044195,POI3
113,4522231,2017-06-21 00:00:04.383,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
114,4522296,2017-06-21 09:00:05.040,CA,ON,Goderich,43.7479,-81.702,8.327077520836285,POI3
115,4522376,2017-06-21 00:00:05.113,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
116,4522431,2017-06-21 20:00:05.250,CA,ON,London,43.0004,-81.2343,8.072115737687183,POI3
117,4522487,2017-06-21 10:00:05.290,CA,ON,Waterloo,43.4737,-80.5309,7.25971837500719,POI3
118,4522500,2017-06-21 17:00:05.387,CA,ON,Brantford,43.1772,-80.248,7.081324071147788,POI3
119,4522528,2017-06-21 13:00:05.593,CA,ON,Woodstock,43.1327,-80.7449,7.565926406621798,POI3
120,4522564,2017-06-21 03:00:05.600,CA,ON,Woodstock,43.1327,-80.7449,7.565926406621798,POI3
121,4522656,2017-06-21 07:00:05.923,CA,ON,Waterloo,43.499,-80.5063,7.22900124690935,POI3
122,4522680,2017-06-21 02:00:06.707,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
123,4522747,2017-06-21 08:00:06.907,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
124,4522806,2017-06-21 21:00:06.957,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
125,4522855,2017-06-21 12:00:02.177,CA,ON,Kitchener,43.4134,-80.496,7.243562443785304,POI3
126,4522895,2017-06-21 22:00:02.310,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
127,4522945,2017-06-21 01:00:02.337,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
128,4522946,2017-06-21 19:00:02.590,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
129,4523019,2017-06-21 12:00:02.683,CA,ON,Kitchener,43.4553,-80.4845,7.22045882882916,POI3
130,4523104,2017-06-21 18:00:02.690,CA,ON,London,42.9611,-81.2431,8.092824270279008,POI3
131,4523121,2017-06-21 18:00:02.757,CA,ON,Windsor,42.2654,-83.0261,10.004802108298644,POI3
132,4523184,2017-06-21 18:00:02.833,CA,ON,London,42.9611,-81.2431,8.092824270279008,POI3
133,4523251,2017-06-21 19:00:03.770,CA,ON,Guelph,43.5425,-80.2676,6.987708671833496,POI3
134,4523347,2017-06-21 15:00:03.870,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
135,4523389,2017-06-21 11:00:03.883,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
136,4523439,2017-06-21 19:00:04.027,CA,ON,Guelph,43.5544,-80.2969,7.01246616147393,POI3
137,4523455,2017-06-21 00:00:04.367,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
138,4523508,2017-06-21 04:00:04.373,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
140,4523593,2017-06-21 17:00:04.813,CA,ON,Cambridge,43.3677,-80.338,7.106269702285224,POI3
142,4523720,2017-06-21 05:00:05.120,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
143,4523782,2017-06-21 11:00:05.333,CA,ON,Guelph,43.5215,-80.2338,6.961303958513593,POI3
144,4523866,2017-06-21 16:00:05.490,CA,ON,Waterloo,43.4737,-80.5309,7.25971837500719,POI3
145,4523953,2017-06-21 18:00:05.617,CA,ON,London,43.0061,-81.2962,8.129176289195417,POI3
146,4523994,2017-06-21 04:00:05.630,CA,ON,London,43.0061,-81.2962,8.129176289195417,POI3
147,4524010,2017-06-21 09:00:05.717,CA,ON,Windsor,42.2654,-83.0261,10.004802108298644,POI3
148,4524024,2017-06-21 18:00:06.050,CA,ON,Cambridge,43.4471,-80.0828,6.83900870053673,POI3
149,4524055,2017-06-21 10:00:06.053,CA,ON,Cambridge,43.4471,-80.0828,6.83900870053673,POI3
150,4524106,2017-06-21 12:00:06.090,CA,ON,Windsor,42.2654,-83.0261,10.004802108298644,POI3
151,4524183,2017-06-21 12:00:06.140,CA,ON,Windsor,42.2654,-83.0261,10.004802108298644,POI3
152,4524225,2017-06-21 22:00:06.340,CA,ON,Woodstock,43.13375,-80.74328,7.564057760764191,POI3
153,4524238,2017-06-21 03:00:06.427,CA,ON,London,42.9923,-81.2531,8.092505336421908,POI3
154,4524303,2017-06-21 11:00:06.510,CA,ON,Chatham,42.3778,-82.1897,9.178858781690511,POI3
155,4524358,2017-06-21 03:00:06.810,CA,ON,London,42.9832,-81.2847,8.12536651364214,POI3
156,4524446,2017-06-21 21:00:07.040,CA,ON,Kitchener,43.391,-80.441,7.197560346132365,POI3
157,4524506,2017-06-21 18:00:07.080,CA,ON,Kitchener,43.4233,-80.5383,7.281182404830764,POI3
158,4524565,2017-06-21 13:00:07.090,CA,ON,Kitchener,43.4233,-80.5383,7.281182404830764,POI3
159,4524580,2017-06-21 17:00:07.133,CA,ON,Kitchener,43.4284,-80.4311,7.177107783238106,POI3
160,4524615,2017-06-21 01:00:04.513,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
161,4524646,2017-06-21 15:00:05.410,CA,ON,Brantford,43.1772,-80.248,7.081324071147788,POI3
162,4524688,2017-06-21 22:00:05.963,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
163,4524714,2017-06-21 19:00:06.133,CA,ON,Cambridge,43.4471,-80.0828,6.83900870053673,POI3
164,4524786,2017-06-21 06:00:06.537,CA,ON,Windsor,42.3159,-83.0311,9.993215804095142,POI3
165,4524796,2017-06-21 10:00:06.697,CA,ON,Kitchener,43.4134,-80.496,7.243562443785304,POI3
166,4524844,2017-06-21 21:00:07.133,CA,ON,Windsor,42.3265,-82.9119,9.87695537774759,POI3
167,4524928,2017-06-21 01:00:04.910,CA,ON,Kitchener,43.44144,-80.50166999999999,7.24088197066054,POI3
168,4524939,2017-06-21 14:00:05.353,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
169,4524947,2017-06-21 00:00:06.163,CA,ON,Kitchener,43.4306,-80.4877,7.230629359040406,POI3
170,4524955,2017-06-21 17:00:06.737,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
171,4525025,2017-06-21 19:00:06.807,CA,ON,Sarnia,42.9864,-82.3638,9.155776790017162,POI3
172,4525101,2017-06-21 09:00:07.253,CA,SK,Saskatoon,52.1225,-106.72488,6.909122559066754,POI1
173,4525142,2017-06-21 08:00:08.273,CA,ON,Brampton,43.78,-79.74,6.414924101048815,POI3
175,4525261,2017-06-21 15:00:07.143,CA,ON,London,42.9923,-81.2531,8.092505336421908,POI3
176,4525324,2017-06-21 08:00:07.050,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
178,4525382,2017-06-21 21:00:07.123,CA,ON,Windsor,42.3297,-82.9482,9.910279372248645,POI3
179,4525479,2017-06-21 10:00:14.537,CA,AB,Edmonton,53.426880000000004,-113.47175,0.12010387431303038,POI1
180,4525558,2017-06-21 14:00:18.667,CA,SK,Saskatoon,52.1225,-106.72488,6.909122559066754,POI1
182,4525612,2017-06-21 08:00:20.943,CA,AB,Edmonton,53.587,-113.441,0.06056785157986387,POI1
184,4525746,2017-06-21 21:00:21.123,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
185,4525757,2017-06-21 14:00:21.140,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
186,4525800,2017-06-21 02:00:21.350,CA,ON,Ancaster,43.208,-79.9652,6.804581737962808,POI3
188,4525869,2017-06-21 03:00:21.503,CA,AB,Edmonton,53.616009999999996,-113.45364,0.07686396740345762,POI1
190,4526024,2017-06-21 13:00:21.617,CA,AB,Calgary,51.0419,-114.2,2.604136925364145,POI1
191,4526111,2017-06-21 13:00:21.643,CA,AB,Lethbridge,49.6994,-112.822,3.903608481270254,POI1
192,4526136,2017-06-21 18:00:21.750,CA,ON,Burlington,43.332,-79.807,6.613944102441223,POI3
193,4526210,2017-06-21 06:00:22.823,CA,ON,Brampton,43.7796,-79.7681,6.442081321018623,POI3
195,4526337,2017-06-21 18:00:21.257,CA,ON,Mississauga,43.5414,-79.6824,6.428947212865961,POI3
197,4526420,2017-06-21 01:00:21.557,CA,AB,Calgary,50.9722,-114.062,2.6376862246759005,POI1
198,4526426,2017-06-21 17:00:21.607,CA,QC,Saint-Nicolas,46.72072,-71.30409,2.560110280170952,POI3
199,4526443,2017-06-21 07:00:21.727,CA,AB,Calgary,50.939820000000005,-114.03211,2.6630004539588406,POI1
200,4526505,2017-06-21 03:00:21.950,CA,ON,North York,43.787,-79.4169,6.102596802592892,POI3
202,4526625,2017-06-21 04:00:21.363,CA,ON,Ancaster,43.208,-79.9652,6.804581737962808,POI3
203,4526695,2017-06-21 13:00:21.477,CA,ON,Etobicoke,43.699709999999996,-79.53618,6.241966958170881,POI3
205,4526775,2017-06-21 03:00:21.563,CA,AB,Rocky Mountain House,52.38629,-114.92294,1.8468556363627808,POI1
206,4526821,2017-06-21 01:00:21.630,CA,AB,Calgary,50.9722,-114.062,2.6376862246759005,POI1
207,4526865,2017-06-21 06:00:22.377,CA,ON,Mississauga,43.5812,-79.6323,6.369063448594072,POI3
208,4526950,2017-06-21 05:00:23.497,CA,AB,Calgary,50.9093,-114.1028,2.708105984640373,POI1
209,4527041,2017-06-21 19:00:24.713,CA,ON,London,42.993,-81.169,8.01244086881251,POI3
210,4527101,2017-06-21 01:00:25.740,CA,ON,Toronto,43.6466,-79.4493,6.174841718053746,POI3
211,4527148,2017-06-21 19:00:20.903,CA,AB,Airdrie,51.279790000000006,-114.00323999999999,2.3247101251908755,POI1
212,4527192,2017-06-21 05:00:21.100,CA,ON,Toronto,43.6682,-79.4209,6.141235383326147,POI3
213,4527235,2017-06-21 08:00:21.153,CA,ON,Waterloo,43.4737,-80.5309,7.25971837500719,POI3
215,4527267,2017-06-21 07:00:21.563,CA,AB,Calgary,51.17119,-114.1577,2.468208673448216,POI1
217,4527346,2017-06-21 06:00:23.430,CA,ON,Sudbury,46.5213,-80.947,7.448365513373861,POI3
218,4527396,2017-06-21 15:00:25.867,CA,AB,Calgary,51.0494,-113.9564,2.540742398560905,POI1
219,4527441,2017-06-21 07:00:21.113,CA,ON,Burlington,43.375,-79.8434,6.634264503998694,POI3
220,4527443,2017-06-21 04:00:21.377,CA,ON,Brampton,43.71144,-79.76698,6.459770857364605,POI3
221,4527536,2017-06-21 13:00:21.510,CA,AB,Edmonton,53.5105,-113.37,0.12110529982210123,POI1
222,4527537,2017-06-21 13:00:21.667,CA,AB,Brooks,50.58495,-111.89101000000001,3.363324360995387,POI1
223,4527556,2017-06-21 03:00:22.960,CA,ON,Mississauga,43.72139,-79.64403,6.339007603178673,POI3
224,4527583,2017-06-21 02:00:24.580,CA,AB,Edmonton,53.4398,-113.53742,0.11825980418130312,POI1
225,4527587,2017-06-21 17:00:25.100,CA,AB,Calgary,51.0876,-114.0214,2.516245170297402,POI1
226,4527628,2017-06-21 13:00:26.057,CA,ON,Thunder Bay,48.3738,-89.2779,15.96865450977687,POI3
227,4527720,2017-06-21 09:00:26.090,CA,ON,North York,43.7576,-79.461,6.153254452191702,POI3
228,4527727,2017-06-21 09:00:23.617,CA,AB,Edmonton,53.4564,-113.521,0.09644586587822127,POI1
229,4527798,2017-06-21 13:00:24.387,CA,AB,Edmonton,53.4398,-113.53742,0.11825980418130312,POI1
230,4527807,2017-06-21 09:00:25.370,CA,ON,North York,43.76164,-79.50135,6.190771842540882,POI3
231,4527830,2017-06-21 18:00:26.080,CA,QC,Saint-Laurent,45.5057,-73.6814,0.11647040146320209,POI3
232,4527882,2017-06-21 15:00:26.250,CA,ON,Dundas,43.2649,-79.9555,6.776299088294216,POI3
233,4527890,2017-06-21 16:00:25.883,CA,ON,Toronto,43.6466,-79.4493,6.174841718053746,POI3
234,4527967,2017-06-21 10:00:26.193,CA,ON,Toronto,43.6769,-79.3784,6.09809313218624,POI3
235,4528009,2017-06-21 02:00:27.963,CA,AB,Calgary,51.0823,-113.9578,2.508682303928705,POI1
236,4528078,2017-06-21 16:00:28.770,CA,ON,Burlington,43.34442,-79.79248,6.596134727976452,POI3
237,4528166,2017-06-21 10:00:26.063,CA,AB,Calgary,50.9412,-114.114,2.6796587913100067,POI1
239,4528350,2017-06-21 16:00:29.263,CA,QC,Montréal,45.5884,-73.5641,0.06679871418672956,POI3
241,4528470,2017-06-21 04:00:26.093,CA,ON,Scarborough,43.7997,-79.3209,6.006965727920956,POI3
242,4528481,2017-06-21 01:00:26.113,CA,ON,Toronto,43.6466,-79.4493,6.174841718053746,POI3
244,4528651,2017-06-21 12:00:28.960,CA,AB,Edmonton,53.4688,-113.508,0.08050731299080739,POI1
245,4528676,2017-06-21 01:00:28.277,CA,AB,Calgary,51.133,-113.856,2.4414077661556246,POI1
246,4528678,2017-06-21 12:00:29.040,CA,AB,Edmonton,53.54813000000001,-113.59428,0.10856374848446328,POI1
247,4528767,2017-06-21 19:00:29.483,CA,ON,Markham,43.8601,-79.3341,6.002614377054141,POI3
248,4528809,2017-06-21 02:00:31.280,CA,AB,Spruce Grove,53.54628,-113.88183000000001,0.3960960161185669,POI1
249,4528850,2017-06-21 04:00:29.240,CA,AB,Calgary,51.15648,-114.07926,2.4622910207051087,POI1
251,4528952,2017-06-21 00:00:29.640,CA,ON,Brampton,43.7796,-79.7681,6.442081321018623,POI3
252,4529001,2017-06-21 19:00:29.943,CA,ON,Markham,43.8412,-79.3262,6.000289090953618,POI3
253,4529076,2017-06-21 07:00:33.240,CA,AB,Bonnyville,54.26948,-110.72648999999998,2.8524742150464966,POI1
254,4529149,2017-06-21 01:00:29.693,CA,ON,Mississauga,43.56864,-79.63094,6.371606714257946,POI3
255,4529202,2017-06-21 07:00:34.350,CA,AB,Edmonton,53.5327,-113.626,0.14091100327866266,POI1
256,4529220,2017-06-21 12:00:33.037,CA,AB,Leduc,53.2668,-113.552,0.2871186226022272,POI1
257,4529292,2017-06-21 08:00:33.970,CA,AB,Calgary,51.133,-113.856,2.4414077661556246,POI1
258,4529367,2017-06-21 10:00:32.690,CA,AB,Edmonton,53.55848,-113.49825,0.017557341057225735,POI1
259,4529461,2017-06-21 19:00:36.260,CA,ON,Windsor,42.2545,-82.9809,9.965642076555685,POI3
260,4529554,2017-06-21 22:00:35.983,CA,ON,Concord,43.81264,-79.50514,6.180108596422636,POI3
261,4529643,2017-06-21 01:00:36.750,CA,AB,Calgary,50.8921,-113.97745,2.699232532618304,POI1
263,4529735,2017-06-21 21:00:36.163,CA,ON,Lindsay,44.357,-78.7405,5.303919548995533,POI3
264,4529826,2017-06-21 04:00:36.553,CA,AB,Edmonton,53.4688,-113.508,0.08050731299080739,POI1
265,4529862,2017-06-21 01:00:36.740,CA,AB,Calgary,51.04745,-114.1805,2.593508519524278,POI1
266,4529945,2017-06-21 12:00:36.797,CA,AB,Lethbridge,49.67346,-112.89121999999999,3.918074323445775,POI1
268,4530039,2017-06-21 02:00:36.950,CA,ON,Markham,43.85883,-79.29809,5.968373408455358,POI3
269,4530051,2017-06-21 22:00:37.683,CA,ON,Oshawa,43.89029,-78.81588,5.497477144441537,POI3
270,4530079,2017-06-21 02:00:38.040,CA,AB,Spruce Grove,53.56081999999999,-113.88283,0.3973662587902906,POI1
271,4530117,2017-06-21 04:00:38.270,CA,ON,Markham,43.85883,-79.29809,5.968373408455358,POI3
272,4530158,2017-06-21 06:00:36.667,CA,ON,Brampton,43.7601,-79.73680999999999,6.417287922139453,POI3
273,4530203,2017-06-21 19:00:36.690,CA,ON,North York,43.7224,-79.4454,6.148519101687582,POI3
274,4530252,2017-06-21 16:00:36.783,CA,AB,Beaumont,53.349909999999994,-113.40827,0.21099166179023485,POI1
275,4530326,2017-06-21 19:00:36.873,CA,AB,Calgary,51.0656,-114.063,2.5468507369386604,POI1
276,4530366,2017-06-21 20:00:37.027,CA,AB,Edmonton,53.585640000000005,-113.39448999999999,0.0994162223432537,POI1
277,4530373,2017-06-21 13:00:38.707,CA,BC,Vancouver,49.24157,-123.09776000000001,10.531884881496048,POI1
278,4530411,2017-06-21 04:00:39.533,CA,ON,Thornhill,43.8395,-79.3831,6.055405119594971,POI3
279,4530503,2017-06-21 16:00:36.580,CA,AB,Calgary,50.8837,-114.0326,2.718049474907517,POI1
280,4530595,2017-06-21 18:00:36.720,CA,AB,Calgary,51.07,-114.0297,2.5352124212864324,POI1
281,4530606,2017-06-21 18:00:36.890,CA,AB,Fort Mcmurray,56.7377,-111.438,3.791978035912784,POI1
282,4530674,2017-06-21 10:00:37.060,CA,ON,Thornhill,43.8395,-79.3831,6.055405119594971,POI3
283,4530743,2017-06-21 09:00:38.007,CA,AB,Calgary,50.8476,-114.1958,2.790422473003867,POI1
284,4530820,2017-06-21 00:00:39.023,CA,NB,Moncton,46.1183,-64.7338,1.7468551136087358,POI4
285,4530905,2017-06-21 04:00:39.110,CA,AB,Calgary,51.0412,-114.0762,2.5736180307584484,POI1
287,4530927,2017-06-21 15:00:38.390,CA,AB,Fort Mcmurray,56.7141,-111.38,3.8039341702039273,POI1
289,4531063,2017-06-21 21:00:38.677,CA,QC,Victoriaville,46.0672,-71.9596,1.6965393552219812,POI3
